Academic Year,LSS Number,LSS Name,School Number,School Name,Total HS Completers,Diploma Count ,Diploma Pct,Certificate Count,Certificate Pct,USM Requirements Count,USM Requirements Pct,CTE Requirements Count,CTE Requirements Pct,USM and CTE Requirements Count,USM and CTE Requirements Pct,Met Rigorous Indicator Count,Met Rigorous Indicator Pct,Rigorous Foreign Language Count,Rigorous Foreign Language Pct,Rigorous Math Count,Rigorous Math Pct,Rigorous Science Count,Rigorous Science Pct,Rigorous Tech Ed Count,Rigorous Tech Ed Pct,Rigorous SAT OR ACT Count,Rigorous SAT OR ACT Pct,Rigorous GPA Count,Rigorous GPA Pct,Create Date 
2019,22,Wicomico,1307,James M. Bennett High,323,*,>= 95.0,*,<= 5.0,168,52.0,21,6.5,26,8.0,106,32.8,179,55.4,134,41.5,42,13.0,*,<= 5.0,151,46.7,160,49.5,20200715
2019,22,Wicomico,1309,Parkside High,263,*,>= 95.0,*,<= 5.0,119,45.2,43,16.3,45,17.1,76,28.9,148,56.3,113,43.0,25,9.5,*,<= 5.0,101,38.4,123,46.8,20200715
2019,22,Wicomico,A,All Wicomico Schools,917,*,>= 95.0,*,<= 5.0,437,47.7,96,10.5,125,13.6,239,26.1,492,53.7,358,39.0,88,9.6,*,<= 5.0,339,37.0,410,44.7,20200715
2019,23,Worcester,0107,Pocomoke High,73,*,>= 95.0,*,<= 5.0,29,39.7,28,38.4,9,12.3,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,29,39.7,32,43.8,20200715
2019,23,Worcester,0207,Snow Hill High,81,*,>= 95.0,*,<= 5.0,32,39.5,21,25.9,27,33.3,6,7.4,9,11.1,7,8.6,9,11.1,*,<= 5.0,42,51.9,43,53.1,20200715
2019,23,Worcester,0310,Stephen Decatur High,361,*,>= 95.0,*,<= 5.0,177,49.0,73,20.2,84,23.3,56,15.5,107,29.6,*,<= 5.0,111,30.7,*,<= 5.0,190,52.6,198,54.8,20200715
2019,23,Worcester,0401,Cedar Chapel Special School,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20200715
2019,23,Worcester,A,All Worcester Schools,519,*,>= 95.0,*,<= 5.0,238,45.9,122,23.5,120,23.1,62,11.9,116,22.4,*,<= 5.0,120,23.1,*,<= 5.0,261,50.3,273,52.6,20200715
2019,30,Baltimore City,0177,George W. F. McMechen High,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20200715
2019,30,Baltimore City,0178,Excel Academy at Francis M. Wood High,79,*,>= 95.0,*,<= 5.0,52,65.8,26,32.9,*,<= 5.0,*,<= 5.0,4,5.1,27,34.2,*,<= 5.0,*,<= 5.0,*,<= 5.0,*,<= 5.0,20200715
2019,30,Baltimore City,0239,Benjamin Franklin High School at Masonville Cove,61,*,>= 95.0,*,<= 5.0,42,68.9,*,<= 5.0,15,24.6,*,<= 5.0,20,32.8,24,39.3,4,6.6,*,<= 5.0,4,6.6,12,19.7,20200715
2019,30,Baltimore City,0301,William S. Baer School,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20200715
